Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
DEXP4;7,82;6,16;0,92;0,436;7,91%;0,597;1,3;6,75;2,03;6,17;4,98;6,46%;7,08%;3,48;12,09%;15,00%;55.372,30;1.040.570.000,00;0,22;5,73%;;
DIRR3;13,63;9,34;2,9;1,755;19,37%;0,571;1,69;7,47;-1,74;7,7;7,12;23,51%;22,25%;3,93;9,71%;31,05%;122.153.000,00;2.445.690.000,00;1,09;23,16%;;
DMVF3;6,5;19,74;0,36;0,127;0,00%;0,17;8,66;9,37;-0,83;9,9;2,09;1,35%;0,64%;1,06;2,28%;1,83%;431.076,00;909.871.000,00;0,04;23,40%;;
DOHL3;6,51;89,8;0,71;0,801;0,15%;0,494;1,07;-11,52;1,89;-12,81;-26,81;-6,95%;0,89%;5,27;-4,89%;0,79%;48,83;691.726.000,00;0,21;-2,31%;;
DOHL4;3,71;51,17;0,41;0,456;0,30%;0,281;0,61;-6,57;1,08;-7,85;-16,44;-6,95%;0,89%;5,27;-4,89%;0,79%;10.170,30;691.726.000,00;0,21;-2,31%;;
DOTZ3;4,5;-21,24;-0,24;0,317;0,00%;0,268;-0,34;2,14;-0,16;4,71;2,33;14,83%;-1,49%;0,35;20,45%;1,13%;53.553,60;-248.748.000,00;-0,46;11,52%;;
DTCY3;2,75;-186,65;24,75;3,701;0,00%;4,189;9,59;-121,95;30,28;-107,53;44,61;-3,03%;-1,98%;1,82;-7,06%;-13,26%;146,73;1.237.000,00;0;-8,86%;;
DXCO3;5,02;41,51;0,68;0,562;0,13%;0,256;3,52;11,46;-0,81;24,13;5,89;4,90%;1,63%;1,33;2,61%;1,65%;11.958.100,00;6.744.050.000,00;0,98;0,25%;;
EALT3;14,4;3,06;0,91;0,559;5,66%;0,513;5,52;6,15;-11,98;7,72;5,35;9,09%;18,28%;1,31;9,08%;29,71%;10.419,70;356.365.000,00;0,29;12,78%;;
EALT4;14,24;3,03;0,9;0,553;6,30%;0,507;5,46;6,08;-11,85;7,65;5,3;9,09%;18,28%;1,31;9,08%;29,71%;168.863,00;356.365.000,00;0,29;12,78%;;
ECOR3;10,51;7,93;1,74;0,669;2,94%;0,208;4,15;1,86;-0,29;7,11;5,37;36,06%;8,29%;1,51;12,89%;21,93%;50.138.800,00;4.207.980.000,00;5,9;27,00%;;
EGIE3;31,13;11,72;2,89;2,797;4,23%;0,629;57,67;6,31;-1,02;10,63;8,64;44,32%;25,34%;1,08;11,05%;24,66%;57.549.700,00;12.304.200.000,00;2,35;-2,06%;;
EKTR3;49,2;10,24;4,72;0,976;9,08%;0,733;38,28;4,18;-1,31;7,31;6,15;23,34%;9,53%;1,07;20,05%;46,11%;1.030,10;2.019.000.000,00;3,92;4,36%;;
EKTR4;38,47;8,01;3,69;0,763;12,77%;0,573;29,94;3,27;-1,02;6,39;5,38;23,34%;9,53%;1,07;20,05%;46,11%;25.478,70;2.019.000.000,00;3,92;4,36%;;
EMAE4;43,5;5,08;1,04;2,59;0,00%;0,658;2,11;13,13;-91,02;9,09;7,88;19,72%;51,01%;7,69;6,31%;20,41%;253.940,00;1.550.460.000,00;0;6,03%;;
EMBJ3;88,59;37,07;3,44;1,589;0,86%;0,981;5,94;14,63;-7,08;15,24;11,5;10,86%;4,30%;1,43;8,82%;9,28%;357.963.000,00;19.070.600.000,00;0,64;14,27%;;
ENEV3;20,02;1.139,30;1,95;2,251;0,00%;0,712;16,54;11,29;-1,62;15,81;9,01;19,94%;3,19%;1,34;7,00%;0,17%;215.011.000,00;19.852.600.000,00;0,98;36,81%;;
ENGI11;47,09;7,19;1,28;0,664;6,95%;0,286;4,27;3,48;-0,59;8,12;6,23;19,06%;12,00%;1,39;9,70%;17,86%;145.063.000,00;18.484.500.000,00;2,22;8,67%;;
ENGI3;12,25;9,35;1,67;0,864;5,34%;0,372;5,56;4,53;-0,76;9,17;7,04;19,06%;12,00%;1,39;9,70%;17,86%;110.367,00;18.484.500.000,00;2,22;8,67%;;
ENGI4;8,65;6,6;1,18;0,61;7,57%;0,263;3,93;3,2;-0,54;7,83;6,01;19,06%;12,00%;1,39;9,70%;17,86%;149.676,00;18.484.500.000,00;2,22;8,67%;;
ENJU3;1,04;-10,41;0,7;0,797;0,00%;0,488;1,32;-7,44;1,66;-0,13;0,35;-10,71%;-7,66%;2,6;-14,88%;-6,74%;626.789,00;303.794.000,00;0;28,80%;;
ENMT3;52;11,39;2,87;1,256;10,58%;0,735;8,72;6,12;-1,48;9,82;8,19;20,50%;11,03%;1,52;13,98%;25,22%;26.476,60;3.965.230.000,00;2,07;6,43%;;
ENMT4;54,99;12,04;3,04;1,328;10,00%;0,777;9,22;6,48;-1,56;10,17;8,48;20,50%;11,03%;1,52;13,98%;25,22%;2.957,18;3.965.230.000,00;2,07;6,43%;;
EPAR3;4,03;10,25;1,43;28,078;21,71%;1,051;8,9;-11,73;-9,52;-11,06;-14,18;-239,43%;273,93%;4,12;-9,55%;13,99%;53.731,80;41.775.000,00;0;-75,03%;;
EQMA3B;30,01;6,59;1,14;0,735;9,13%;0,427;8,13;3,58;-1,14;5,91;4,62;20,55%;11,15%;1,26;13,83%;17,24%;17.302,20;4.334.970.000,00;0,95;7,90%;;
EQPA3;6,11;8,19;2,66;1,134;10,78%;0,61;4,43;4,8;-1,74;6,4;5,39;23,60%;13,85%;1,49;18,42%;32,49%;43.156,20;5.073.530.000,00;1,96;12,26%;;
EQPA5;17;22,78;7,4;3,155;3,87%;1,696;12,31;13,37;-4,83;14,97;12,59;23,60%;13,85%;1,49;18,42%;32,49%;4.059,60;5.073.530.000,00;1,96;12,26%;;
EQPA6;6,59;8,83;2,87;1,223;10,00%;0,657;4,77;5,18;-1,87;6,78;5,71;23,60%;13,85%;1,49;18,42%;32,49%;16,48;5.073.530.000,00;1,96;12,26%;;
EQTL3;38,3;14,34;1,69;0,941;5,83%;0,382;4,08;4,74;-0,79;9,39;7,5;19,83%;8,01%;1,57;9,60%;11,78%;343.897.000,00;28.549.100.000,00;2,19;24,04%;;
ESPA3;1,02;32,61;0,43;0,343;0,16%;0,164;1,01;2,37;-1,15;6,29;4;14,47%;0,92%;1,52;7,81%;1,31%;719.703,00;864.732.000,00;0,98;9,84%;;
ESTR3;5;0,21;-0,2;0,259;0,00%;0,104;-0,12;-2,97;-0,1;-13,22;-15,09;-8,70%;123,04%;0,33;-3,88%;-96,95%;25;-198.430.000,00;-0,71;-4,71%;;
ESTR4;5,19;0,22;-0,21;0,268;0,00%;0,108;-0,12;-3,08;-0,1;-13,34;-15,22;-8,70%;123,04%;0,33;-3,88%;-96,95%;607,85;-198.430.000,00;-0,71;-4,71%;;
ETER3;4,09;5,37;0,3;0,216;0,90%;0,179;1,02;11,2;4,5;17,6;4,83;1,93%;4,03%;1,66;1,77%;5,57%;451.021,00;845.709.000,00;0,21;1,87%;;
EUCA3;20,74;6,5;0,69;0,624;3,22%;0,404;2,03;3,68;-10,26;4,64;3,25;16,96%;9,59%;2,16;12,60%;10,54%;10.898,10;2.803.900.000,00;0,3;7,06%;;
EUCA4;17,78;5,57;0,59;0,535;4,14%;0,346;1,74;3,15;-8,79;4,11;2,88;16,96%;9,59%;2,16;12,60%;10,54%;706.971,00;2.803.900.000,00;0,3;7,06%;;
EVEN3;7,5;8,39;0,76;0,914;10,20%;0,299;0,52;7,18;1,78;8,61;8,44;12,73%;11,88%;5,14;5,09%;9,03%;8.604.550,00;1.980.740.000,00;0,56;-3,67%;;
EZTC3;13,7;7,08;0,75;2,324;8,92%;0,549;1,58;9,72;3,28;10,14;9,76;23,91%;33,73%;5,66;6,92%;10,60%;32.937.200,00;5.132.990.000,00;0,27;14,15%;;
FESA3;11,4;18,74;1,19;1,721;5,82%;0,951;3,25;23,9;4,75;19,68;7,59;7,20%;9,20%;3,76;5,23%;6,34%;11.033,70;3.387.880.000,00;0,05;-2,07%;;
FESA4;6,8;11,18;0,71;1,027;10,73%;0,568;1,94;14,25;2,83;10,03;3,87;7,20%;9,20%;3,76;5,23%;6,34%;5.110.560,00;3.387.880.000,00;0,05;-2,07%;;
FHER3;4,35;-0,37;-0,21;0,052;0,00%;0,082;-0,66;-0,96;-0,12;-0,62;-0,96;-5,41%;-14,19%;0,85;-26,34%;56,73%;50.480,70;-1.129.610.000,00;-0,05;3,28%;;
FICT3;2,08;-3,56;1,54;26,292;0,00%;1,014;1,65;-10,64;1,82;-5,7;-8,14;-247,09%;-738,88%;3,17;-43,63%;-43,25%;62.019,40;59.287.000,00;0,17;-36,00%;;
FIEI3;12,53;-9,02;0,42;23,398;0,00%;0,267;-3,37;-5,78;-0,94;-9,09;-9,74;-405,09%;-259,75%;0,5;-5,21%;-4,63%;26.230,20;72.685.000,00;0,34;-21,87%;;
FIGE3;21,07;3,57;0,27;0;0,21%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;7,64%;105,35;182.652.000,00;0;37,23%;;
