Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
KLBN4;3,81;12,86;2,32;1,143;8,82%;0,383;2,72;4,82;-0,77;10,12;5,09;23,70%;9,87%;2,12;10,21%;18,06%;15.511.700,00;10.239.100.000,00;3,5;6,12%;;
LAND3;8,83;-90,54;1,3;9,421;0,82%;0,996;-78,62;14,85;-5,61;15,62;14,82;63,46%;-10,41%;0,82;6,88%;-1,44%;538.058,00;652.360.000,00;0,1;-10,56%;;
LAVV3;15,74;7,16;1,99;1,703;13,17%;0,766;1,38;7,28;3,35;7,47;7,32;23,39%;27,59%;3,52;13,50%;27,83%;8.103.090,00;1.542.630.000,00;0,58;32,61%;;
LEVE3;33,5;7,78;5,18;0,841;8,13%;1,153;7,56;5,18;-8,37;6,22;5,44;16,24%;10,81%;1,31;34,85%;66,51%;12.023.600,00;876.909.000,00;1,71;9,91%;;
LIGT3;4,72;0,77;0,31;0,118;0,00%;0,068;-30,41;1,21;-0,12;5,95;3,62;9,73%;15,36%;0,99;6,99%;40,83%;6.674.020,00;5.622.130.000,00;1,69;-0,30%;;
LJQQ3;2,1;-3,63;0,91;0,161;0,00%;0,112;0,4;-16,69;-0,73;-17,85;3,86;-0,97%;-4,44%;1,64;-0,87%;-25,21%;5.690.870,00;448.152.000,00;1,25;6,67%;;
LOGG3;25,35;5,8;0,58;9,301;15,64%;0,311;7,2;12,87;-1,09;24,03;23,13;72,30%;160,74%;1,32;2,66%;10,02%;11.913.200,00;3.832.180.000,00;0,66;11,25%;;
LOGN3;33,6;29,61;3,38;1,201;0,00%;0,903;28,21;12,08;-1,97;16,84;8,62;9,95%;4,06%;1,13;8,39%;11,42%;1.311.750,00;1.065.780.000,00;1,59;21,43%;;
LPSB3;1,67;6,09;0,95;1,186;13,09%;0,595;3,49;5,76;-8,88;3,71;2,55;20,60%;23,65%;2,13;13,30%;15,55%;515.599,00;260.103.000,00;0;-2,13%;;
LREN3;13,38;9,68;1,33;0,863;6,59%;0,734;2,94;3,86;5,59;3,5;2,56;22,36%;8,92%;1,76;22,96%;13,72%;292.392.000,00;10.143.100.000,00;0,04;10,59%;;
LUPA3;0,93;-4,26;0,38;0,63;0,00%;0,089;-1,52;-1,47;-0,18;-7,25;-8,47;-42,96%;-14,80%;0,82;-6,34%;-9,00%;87.877,50;113.324.000,00;1,52;-3,01%;;
LUXM4;4,5;4,49;1,12;1,216;2,58%;0,803;8,01;6,87;-10,26;6,73;4,06;17,69%;27,07%;1,99;13,20%;24,85%;30.124,50;167.560.000,00;0,11;4,18%;;
LWSA3;4,12;-8,53;0,96;1,592;1,25%;0,65;9,39;18,28;18,41;15,93;7,59;8,71%;-18,67%;1,24;4,03%;-11,26%;13.783.900,00;2.438.600.000,00;0,03;18,82%;;
MAPT3;3;-26,01;-0,42;0;0,00%;3,567;-393,86;-30,98;-0,38;-30,98;-30,98;0,00%;0,00%;0;-11,51%;1,63%;52,5;-6.504.000,00;0;0,00%;;
MAPT4;3,5;-30,34;-0,49;0;0,00%;4,161;-459,5;-36,14;-0,44;-36,14;-36,14;0,00%;0,00%;0;-11,51%;1,63%;506,88;-6.504.000,00;0;0,00%;;
MATD3;5,15;21,13;1,17;0,818;4,40%;0,39;1,67;5,15;-1,28;7,29;5,49;15,87%;3,95%;2,92;9,31%;5,56%;1.123.480,00;1.462.810.000,00;0,95;10,37%;;
MBRF3;19,64;9,92;2,32;0,174;8,54%;0,205;6,27;4,8;-0,4;12,82;5,63;3,63%;2,18%;1,09;6,40%;23,42%;234.570.000,00;12.149.200.000,00;5,73;17,31%;;
MDIA3;23,86;11,92;0,97;0,793;5,48%;0,619;2,24;8,52;5,17;7,82;5,49;9,30%;6,65%;2,33;10,36%;8,17%;17.754.700,00;8.306.230.000,00;0,22;7,24%;;
MDNE3;23;5,52;1,08;0,967;5,18%;0,356;1,1;4,93;-2,03;5,55;5,35;19,63%;17,49%;2,91;8,51%;19,53%;24.538.900,00;1.811.090.000,00;0,45;33,89%;;
MEAL3;1,25;-2,46;0,4;0,18;0,00%;0,157;-3,07;-7,71;-0,36;-13,41;4,65;-2,33%;-7,31%;0,77;-2,36%;-16,18%;312.836,00;901.644.000,00;0,52;3,21%;;
MELK3;3,8;7,33;0,71;0,651;34,07%;0,291;0,65;5,91;1,49;7,04;6,84;11,02%;14,40%;2,6;5,82%;9,75%;2.722.740,00;1.097.540.000,00;0,47;11,59%;;
MERC3;15,28;17,12;1,04;0;0,95%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;6,09%;38,2;600.831.000,00;0;24,35%;;
MERC4;12,5;14,01;0,85;0;4,24%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;6,09%;1.425,75;600.831.000,00;0;24,35%;;
MGEL4;5,95;3,9;1,11;0,033;0,00%;0,046;0,44;0,43;-0,09;7,15;5,65;7,82%;0,85%;1,32;12,42%;28,47%;14.520,20;30.957.000,00;18,62;3,90%;;
MGLU3;8,83;18,63;0,61;0,179;3,29%;0,184;1,71;3,73;-1;6,11;3,59;4,79%;0,96%;1,26;7,16%;3,30%;179.675.000,00;11.160.100.000,00;0,53;1,93%;;
MILS3;14;11;1,95;1,844;3,31%;0,732;3;5,24;-3;7,46;5,26;35,19%;16,79%;2,78;18,59%;17,75%;22.977.100,00;1.678.720.000,00;1,37;26,98%;;
MLAS3;1,31;-20,89;0,35;0,289;0,00%;0,203;0,59;-26,62;0,75;-27,39;64,72;-1,08%;-1,38%;1,99;-1,12%;-1,70%;2.012.480,00;3.036.010.000,00;0,17;-4,13%;;
MNDL3;16;-6,52;1,15;0,159;0,00%;0,111;-0,96;1,78;-0,23;7,57;6,4;8,92%;-2,44%;0,78;6,71%;-17,71%;51.431,60;137.573.000,00;3,78;10,92%;;
MNPR3;4,68;0,64;1,65;0,777;0,00%;0,753;2,13;4,29;-53,62;2,75;2,43;18,12%;121,81%;3,01;25,67%;258,34%;185.045,00;201.583.000,00;0;6,23%;;
MOAR3;63,79;24,51;0,85;0;77,20%;0,352;0,8;-30,33;14,59;-13,46;-13,82;0,00%;0,00%;3,6;-2,74%;3,45%;219.323,00;924.791.000,00;0,91;0,00%;;
MOTV3;14,95;10,44;1,94;1,384;3,24%;0,449;5,51;4,09;-0,76;8,51;6,89;33,82%;14,13%;1,89;12,60%;18,60%;161.777.000,00;15.545.900.000,00;2,59;14,58%;;
MOVI3;9,9;12,38;1,24;0,242;7,85%;0,116;-1,03;1,03;-0,18;5,63;3,3;23,43%;1,95%;0,69;15,29%;9,98%;46.135.800,00;2.788.630.000,00;6,7;30,46%;;
