Resultado da busca;;;;;;;;;;;;;;
Papel;Segmento;CotaÃ§a;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imovei;PreÃ§o do ;Aluguel por m2;Cap Rate;Vacancia Med;Nota;InformaÃ§a
FIXX11;Outros;98,15;6,95%;0,00%;1,56;367.985.000;102.645;0;0;0;0,00%;0,00%;;
FLCR11;Outros;96,14;16,76%;14,12%;1,01;72.282.300;139.300;0;0;0;0,00%;0,00%;;
FLMA11;Escritï¿½ï¿;155,78;8,53%;8,15%;0,7;215.081.000;64.460;1;18.827,50;1.997,96;10,61%;0,00%;;
FLRP11;Shoppings;21,66;8,32%;8,52%;1,07;161.968.000;25.320;1;3.196,22;284,68;8,91%;1,63%;;
FMOF11;Escritï¿½ï¿;40;11,15%;18,31%;0,8;20.320.300;3.472;1;0;248,94;0,00%;4,17%;;
FPAB11;Escritï¿½ï¿;210,13;6,46%;7,88%;0,59;157.598.000;10.068;2;4.261,71;386,54;9,07%;19,00%;;
FPNG11;Multicategoria;404,41;1,01%;1,18%;1,91;1.230.800.000;31;8;153.070,00;3.098,88;2,02%;3,33%;;
FTCA11;Outros;9,25;17,66%;10,93%;0,87;41.254.600;109.081;0;0;0;0,00%;0,00%;;
FVPQ11;Shoppings;70,01;9,85%;7,61%;0,44;196.038.000;154.555;1;3.350,06;662,92;19,79%;10,88%;;
FYTO11;Multicategoria;8,63;13,96%;10,60%;0,87;131.878.000;174.160;0;0;0;0,00%;0,00%;;
FZDA11;Outros;131;3,22%;3,03%;0,72;203.050.000;2.144;6;2,32;0,09;3,89%;0,00%;;
FZDB11;Outros;143,51;2,78%;2,84%;0,8;516.636.000;130;40;3,69;0,13;3,41%;0,00%;;
GAME11;Outros;9,19;20,95%;12,21%;0,96;219.062.000;1.743.990;0;0;0;0,00%;0,00%;;
GARE11;Multicategoria;9,02;3,73%;10,93%;0,95;2.015.250.000;7.318.380;3;196,02;9,97;5,09%;0,00%;;
GCOI11;Residencial;72,86;-5,73%;31,25%;0,67;8.233.180;2.016;2;1.795,02;0;0,00%;0,00%;;
GCRA11;Multicategoria;53,64;13,31%;10,26%;0,63;93.916.400;130.196;0;0;0;0,00%;0,00%;;
GCRI11;Outros;64,73;14,98%;15,52%;0,71;94.108.300;184.969;1;1.211,57;0;0,00%;0,00%;;
GFDL11;Logï¿½ï¿½;109,59;-0,27%;0,15%;1,12;27.937.400;9.663;0;0;0;0,00%;0,00%;;
GGRC11;Multicategoria;9,85;6,30%;12,05%;0,88;2.110.360.000;10.038.800;39;2.088,37;202,02;9,67%;0,00%;;
GLCR11;Multicategoria;101,25;6,07%;6,72%;1,01;36.461.100;5.698;0;0;0;0,00%;0,00%;;
GLOG11;Logï¿½ï¿½;64;10,67%;7,56%;0,59;48.000.000;218.045;1;668,19;97,48;14,59%;0,00%;;
GLPF11;Logï¿½ï¿½;106,27;6,63%;8,10%;1,01;159.936.000;39.085;0;0;0;0,00%;0,00%;;
GRUL11;Logï¿½ï¿½;8,92;14,63%;12,95%;0,93;220.324.000;314.591;3;5.075,60;774,35;15,26%;0,00%;;
GRWA11;Outros;8,11;11,99%;8,26%;0,8;22.371.300;9.462;0;0;0;0,00%;0,00%;;
GSFI11;Shoppings;11;0,00%;0,00%;0,82;1.057.170.000;25.032.900;0;0;0;0,00%;0,00%;;
GTWR11;Escritï¿½ï¿;82,1;12,86%;12,60%;0,81;985.200.000;931.945;0;0;0;13,40%;0,00%;;
GZIT11;Multicategoria;46,99;10,98%;21,42%;0,52;1.026.320.000;559.989;6;8.547,61;1.111,43;13,00%;4,14%;;
HAAA11;Escritï¿½ï¿;52;4,74%;2,47%;0,78;179.660.000;2.084;2;14.533,80;1.146,54;7,89%;17,10%;;
HABT11;Multicategoria;73,09;16,32%;18,37%;0,77;593.987.000;1.135.860;0;0;0;0,00%;0,00%;;
HBCR11;Multicategoria;144,64;5,30%;12,92%;1,28;231.424.000;1.741.200;3;1.999,59;204,67;10,24%;0,00%;;
HCHG11;Outros;80,15;9,11%;11,63%;0,85;96.180.000;76.264;0;0;0;0,00%;0,00%;;
HCRI11;Hospital;292,07;11,05%;16,79%;0,89;58.414.000;48.162;1;10.460,40;1.244,17;11,89%;0,00%;;
HCTR11;Multicategoria;21,5;17,68%;18,59%;0,2;474.810.000;789.245;0;0;0;0,00%;0,00%;;
HDEL11;Logï¿½ï¿½;100,02;27,45%;29,20%;0,91;84.016.800;3;1;2.763,42;301,04;10,89%;0,00%;;
HFOF11;Multicategoria;6,45;10,51%;10,31%;0,84;1.461.390.000;1.720.530;0;0;0;0,00%;0,00%;;
HGAG11;Outros;17,49;3,70%;11,01%;0,74;4.341.930;254;0;0;0;0,00%;0,00%;;
HGBL11;Logï¿½ï¿½;9,53;9,44%;9,23%;1,02;250.275.000;354.591;1;1.806,01;170,04;9,42%;0,00%;;
HGBS11;Shoppings;19,95;8,02%;9,25%;0,98;2.576.200.000;3.489.790;16;4.395,09;435,48;9,91%;4,50%;;
HGCR11;Outros;97,46;12,84%;12,62%;1;1.502.650.000;3.408.080;0;0;0;0,00%;0,00%;;
HGIC11;Multicategoria;65,81;5,45%;14,40%;0,6;30.450.700;7.644;2;1.085,37;0;0,00%;0,00%;;
HGLG11;Multicategoria;157,35;6,30%;8,33%;0,95;6.672.380.000;14.086.800;28;4.006,98;277,97;6,94%;2,91%;;
HGPO11;Escritï¿½ï¿;144,1;-3,32%;0,00%;0,97;252.616.000;182.360;0;0;0;0,00%;0,00%;;
HGRE11;Escritï¿½ï¿;123,17;7,13%;10,07%;0,79;1.455.590.000;2.187.050;13;7.881,64;781,28;9,91%;18,51%;;
HGRU11;Outros;125,83;9,57%;9,65%;0,98;2.924.040.000;5.030.180;102;4.507,75;428,94;9,52%;0,81%;;
HJCT11;Escritï¿½ï¿;100;0,00%;0,25%;1,12;99.124.900;41.669;0;0;0;0,00%;0,00%;;
HLOG11;Logï¿½ï¿½;9,17;7,03%;9,45%;0,82;389.725.000;140.883;3;1.988,75;208,48;10,48%;0,00%;;
HOFC11;Escritï¿½ï¿;29,46;-3,40%;0,00%;0,52;111.329.000;1.180.550;3;1.314,03;384,57;29,27%;49,22%;;
HOSI11;Residencial;83,5;5,86%;7,68%;0,78;47.883.100;7.528;0;0;0;0,00%;0,00%;;
HPDP11;Shoppings;91,7;7,36%;7,28%;0,99;301.510.000;185.303;1;2.238,32;170,04;7,60%;2,71%;;
HRDF11;Multicategoria;3,41;-0,37%;0,00%;0,49;5.174.420;858;0;0;0;0,00%;0,00%;;
HREC11;Multicategoria;8,1;12,71%;12,64%;0,91;418.656.000;189.000;0;0;0;0,00%;0,00%;;
HSAF11;Outros;80,22;14,54%;14,03%;0,91;202.665.000;485.575;0;0;0;0,00%;0,00%;;
HSLG11;Logï¿½ï¿½;90,2;9,32%;8,85%;0,82;1.141.940.000;1.195.920;6;1.811,44;165,65;9,14%;0,00%;;
HSML11;Shoppings;90,9;7,03%;8,74%;0,87;1.938.890.000;3.984.290;13;7.939,67;818,14;10,30%;2,57%;;
HSRE11;Outros;106;5,99%;9,73%;1,2;943.265.000;4.485.350;22;7.966,20;666,92;8,37%;0,00%;;
HTMX11;Hotel;144,8;6,46%;10,45%;1,02;418.196.000;572.802;20;7.613,96;554,42;7,28%;0,00%;;
HUCG11;Hospital;90;1,68%;4,54%;0,87;100.980.000;3.661;2;3.500,29;106,58;3,04%;0,00%;;
HUSC11;Hospital;98,06;10,03%;11,39%;0,65;83.431.500;7.207;1;1.107,90;132,32;11,94%;0,00%;;
HUSI11;Hospital;1.220,00;8,81%;8,65%;0,98;141.962.000;31;1;6.924,12;647,8;9,36%;0,00%;;
IAAG11;Outros;8,63;15,37%;15,17%;0,88;90.219.500;177.734;0;0;0;0,00%;0,00%;;
IAGR11;Multicategoria;4,25;0,04%;0,70%;0,69;11.891.200;19.855;0;0;0;0,00%;0,00%;;
IBBP11;Logï¿½ï¿½;9,1;9,95%;9,45%;1,06;370.557.000;26.764;22;968,86;125,47;12,95%;0,22%;;
IBCR11;Outros;48,75;12,60%;19,60%;0,53;46.723.100;88.156;0;0;0;0,00%;0,00%;;
ICNE11;Residencial;769,63;19,72%;1,44%;1,16;92.355.600;512.657;0;0;0;0,00%;0,00%;;
ICRI11;Outros;89,75;12,74%;13,33%;0,89;346.198.000;1.184.330;0;0;0;0,00%;0,00%;;
INLG11;Logï¿½ï¿½;77,83;11,99%;11,49%;0,73;351.177.000;787.104;5;2.924,03;375,13;12,83%;0,84%;;
INRD11;Residencial;75,88;10,25%;9,94%;0,64;85.761.700;29.538;5;3.255,38;465,66;14,30%;1,17%;;
IRIM11;Multicategoria;67,94;0,83%;14,44%;0,81;2.393.240.000;5.293.540;1;0;0;0,00%;0,00%;;
ITIP11;Outros;65,06;-0,75%;13,58%;0,97;48.674.700;51.245;0;0;0;0,00%;0,00%;;
ITIT11;Outros;68,43;7,86%;10,74%;0,87;61.620.800;125.734;0;0;0;0,00%;0,00%;;
ITRI11;Outros;81,89;11,25%;12,20%;0,87;511.813.000;857.750;0;0;0;0,00%;0,00%;;
JASC11;Varejo;102,96;7,62%;7,73%;0,9;359.263.000;87;16;3.509,90;329,9;9,40%;1,20%;;
JCCJ11;Shoppings;153,5;1,23%;3,96%;0,79;751.181.000;4.232;0;0;0;0,00%;0,00%;;
JFLL11;Multicategoria;68,35;11,49%;8,33%;0,68;102.566.000;30.521;1;13.418,70;2.075,89;15,47%;0,00%;;
JGPX11;Outros;72,76;17,02%;7,40%;0,76;155.797.000;735.399;0;0;0;0,00%;0,00%;;
JPPA11;Multicategoria;80,01;16,21%;15,98%;0,8;72.333.000;120.677;0;0;0;0,00%;0,00%;;
JSAF11;Multicategoria;7,67;12,39%;13,55%;0,86;594.604.000;2.224.440;0;0;0;0,00%;0,00%;;
JSCR11;Multicategoria;8,44;13,93%;13,34%;0,9;186.837.000;318.019;0;0;0;0,00%;0,00%;;
JSRE11;Multicategoria;65,75;9,87%;8,69%;0,64;1.365.450.000;2.681.400;6;11.668,00;1.148,11;9,84%;2,07%;;
KCRE11;Multicategoria;8,73;14,52%;13,69%;0,92;314.280.000;428.742;0;0;0;0,00%;0,00%;;
KDOL11;Multicategoria;93;-0,73%;3,99%;0,95;62.401.300;66.139;0;0;0;0,00%;0,00%;;
KEVE11;Residencial;719,98;21,15%;41,88%;1,58;106.342.000;53.918;1;0;0;0,00%;0,00%;;
KFOF11;Multicategoria;86,9;11,49%;10,54%;0,95;609.566.000;915.819;0;0;0;0,00%;0,00%;;
KISU11;Outros;6,95;12,23%;12,07%;0,87;307.163.000;639.629;0;0;0;0,00%;0,00%;;
KIVO11;Outros;63,9;18,05%;17,30%;0,74;142.033.000;312.385;0;0;0;0,00%;0,00%;;
KNCA11;Tï¿½ï¿½tulos e Val.;96,39;11,48%;6,48%;0,94;2.082.020.000;2.896.820;0;0;0;0,00%;0,00%;;
KNCR11;Multicategoria;106,5;10,57%;13,45%;1,04;9.806.320.000;15.251.500;0;0;0;0,00%;0,00%;;
KNHF11;Multicategoria;95,8;12,88%;12,02%;0,96;1.883.740.000;4.242.130;9;22.105,90;1.429,57;6,47%;0,64%;;
KNHY11;Multicategoria;100;13,49%;11,51%;1,01;3.117.310.000;4.103.370;0;0;0;0,00%;0,00%;;
KNIP11;Multicategoria;90,02;12,18%;11,19%;0,97;7.208.640.000;12.127.300;0;0;0;0,00%;0,00%;;
KNRE11;Residencial;0,34;0,93%;1,67%;0,54;6.306.030;2.306;0;0;0;0,00%;0,00%;;
KNRI11;Multicategoria;156,19;7,66%;7,78%;0,96;4.405.190.000;6.067.510;20;5.445,75;408,3;7,50%;0,09%;;
KNSC11;Multicategoria;8,75;12,20%;12,99%;0,99;1.769.270.000;5.918.780;0;0;0;0,00%;0,00%;;
KNUQ11;Multicategoria;104,58;9,85%;14,69%;1,03;2.246.870.000;4.722.460;0;0;0;0,00%;0,00%;;
KOPA11;Tï¿½ï¿½tulos e Val.;603,5;19,63%;13,42%;0,61;214.048.000;299.690;0;0;0;0,00%;0,00%;;
KORE11;Outros;71,15;21,10%;20,70%;0,67;684.819.000;2.724.000;4;11.200,10;1.824,39;16,29%;1,61%;;
LAFI11;Outros;115,95;5,28%;17,45%;1,01;89.430.700;16.480;3;8,74;0,51;5,85%;0,00%;;
LASC11;Shoppings;110;12,55%;16,62%;0,85;323.433.000;2.056.320;2;17.300,30;1.527,27;8,83%;0,00%;;
LIFE11;Residencial;8,35;13,14%;16,98%;0,84;332.009.000;694.229;0;0;0;0,00%;0,00%;;
LPLP11;Residencial;238,99;21,79%;74,64%;0,68;177.446.000;219.125;0;0;0;0,00%;0,00%;;
LRDI11;Multicategoria;190;1,26%;13,77%;2,48;70.346.400;2.228;0;0;0;0,00%;0,00%;;
LSAG11;Tï¿½ï¿½tulos e Val.;85,09;14,44%;4,41%;0,87;85.884.200;100.090;0;0;0;0,00%;0,00%;;
LTMT11;Multicategoria;98,36;-1,96%;0,00%;1;15.393.400;716;0;0;0;0,00%;0,00%;;
LVBI11;Logï¿½ï¿½;110,9;8,35%;8,20%;0,92;1.787.550.000;4.473.120;11;2.910,02;276,21;9,49%;2,08%;;
MALL11;Shoppings;100,03;14,22%;8,91%;0,83;1.398.630.000;1.520.130;11;4.650,86;755,88;16,25%;3,64%;;
MANA11;Outros;9,21;10,74%;13,93%;0,98;345.708.000;1.075.800;0;0;0;0,00%;0,00%;;
MAXR11;Multicategoria;61,7;6,05%;6,41%;0,6;69.452.900;55.364;7;1.072,56;108,56;10,12%;24,55%;;
MCCI11;Multicategoria;92,2;11,27%;12,01%;0,99;1.563.710.000;4.405.520;0;0;0;0,00%;0,00%;;
MCEM11;Outros;66,23;-0,47%;7,16%;1,85;216.353.000;69.043;0;0;0;0,00%;0,00%;;
MCLO11;Logï¿½ï¿½;9,95;7,02%;9,89%;0,73;1.240.200.000;1.028.750;4;1.939,00;128,73;6,64%;0,00%;;
